Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-05-23,Canterbury,1,2837,
2021-05-23,Canterbury,2,5869,
2021-05-23,Capital and Coast,1,1808,
2021-05-23,Capital and Coast,2,1777,
2021-05-23,Counties Manukau,1,7500,
2021-05-23,Counties Manukau,2,4354,
2021-05-23,Hawke's Bay,1,1475,
2021-05-23,Hawke's Bay,2,1405,
2021-05-23,Hutt Valley,1,739,
2021-05-23,Hutt Valley,2,878,
2021-05-23,Lakes,1,1571,
2021-05-23,Lakes,2,984,
2021-05-23,MidCentral,1,1721,
2021-05-23,MidCentral,2,964,
2021-05-23,Nelson Marlborough,1,2372,
2021-05-23,Nelson Marlborough,2,1598,
2021-05-23,Northland,1,1982,
2021-05-23,Northland,2,2372,
2021-05-23,Other Sites,1,2425,
2021-05-23,Other Sites,2,560,
2021-05-23,South Canterbury,1,264,
2021-05-23,South Canterbury,2,603,
2021-05-23,Southern,1,3179,
2021-05-23,Southern,2,2123,
2021-05-23,Tairawhiti,1,509,
2021-05-23,Tairawhiti,2,232,
2021-05-23,Taranaki,1,596,
2021-05-23,Taranaki,2,298,
2021-05-23,Waikato,1,3492,
2021-05-23,Waikato,2,2478,
2021-05-23,Wairarapa,1,512,
2021-05-23,Wairarapa,2,425,
2021-05-23,Waitemata,1,4057,
2021-05-23,Waitemata,2,795,
2021-05-23,West Coast,1,904,
2021-05-23,West Coast,2,347,
2021-05-23,Whanganui,1,924,
2021-05-23,Whanganui,2,773,
2021-05-30,Auckland,1,8899,
2021-05-30,Auckland,2,5667,
2021-05-30,Bay of Plenty,1,4350,
2021-05-30,Bay of Plenty,2,3067,
2021-05-30,Canterbury,1,3249,
2021-05-30,Canterbury,2,5469,
2021-05-30,Capital and Coast,1,1439,
2021-05-30,Capital and Coast,2,2293,
2021-05-30,Counties Manukau,1,7450,
2021-05-30,Counties Manukau,2,5927,
2021-05-30,Hawke's Bay,1,3643,
2021-05-30,Hawke's Bay,2,1729,
2021-05-30,Hutt Valley,1,1059,
2021-05-30,Hutt Valley,2,1735,
2021-05-30,Lakes,1,1722,
2021-05-30,Lakes,2,1424,
2021-05-30,MidCentral,1,2576,
2021-05-30,MidCentral,2,1423,
2021-05-30,Nelson Marlborough,1,2535,
2021-05-30,Nelson Marlborough,2,1785,
2021-05-30,Northland,1,2892,
2021-05-30,Northland,2,2256,
2021-05-30,Other Sites,1,1131,
2021-05-30,Other Sites,2,1702,
2021-05-30,South Canterbury,1,248,
2021-05-30,South Canterbury,2,623,
2021-05-30,Southern,1,4270,
2021-05-30,Southern,2,1784,
2021-05-30,Tairawhiti,1,753,
2021-05-30,Tairawhiti,2,143,
2021-05-30,Taranaki,1,504,
2021-05-30,Taranaki,2,507,
2021-05-30,Waikato,1,3767,
2021-05-30,Waikato,2,3409,
2021-05-30,Wairarapa,1,419,
2021-05-30,Wairarapa,2,632,
2021-05-30,Waitemata,1,5313,
2021-05-30,Waitemata,2,968,
2021-05-30,West Coast,1,754,
2021-05-30,West Coast,2,435,
2021-05-30,Whanganui,1,985,
2021-05-30,Whanganui,2,967,
2021-06-06,Auckland,1,9558,
2021-06-06,Auckland,2,4736,
2021-06-06,Bay of Plenty,1,4506,
2021-06-06,Bay of Plenty,2,2993,
2021-06-06,Canterbury,1,3229,
2021-06-06,Canterbury,2,3471,
2021-06-06,Capital and Coast,1,1169,
2021-06-06,Capital and Coast,2,2810,
2021-06-06,Counties Manukau,1,8892,
2021-06-06,Counties Manukau,2,6880,
2021-06-06,Hawke's Bay,1,5090,
2021-06-06,Hawke's Bay,2,1955,
2021-06-06,Hutt Valley,1,1345,
2021-06-06,Hutt Valley,2,1654,
2021-06-06,Lakes,1,2767,
2021-06-06,Lakes,2,1041,
2021-06-06,MidCentral,1,2014,
2021-06-06,MidCentral,2,2072,
2021-06-06,Nelson Marlborough,1,2100,
2021-06-06,Nelson Marlborough,2,2330,
2021-06-06,Northland,1,3453,
2021-06-06,Northland,2,1963,
2021-06-06,Other Sites,1,1279,
2021-06-06,Other Sites,2,2148,
2021-06-06,South Canterbury,1,2329,
2021-06-06,South Canterbury,2,519,
2021-06-06,Southern,1,6699,
2021-06-06,Southern,2,1702,
2021-06-06,Tairawhiti,1,748,
2021-06-06,Tairawhiti,2,275,
2021-06-06,Taranaki,1,488,
2021-06-06,Taranaki,2,546,
2021-06-06,Waikato,1,3358,
2021-06-06,Waikato,2,2930,
2021-06-06,Wairarapa,1,741,
2021-06-06,Wairarapa,2,642,
2021-06-06,Waitemata,1,7183,
2021-06-06,Waitemata,2,2213,
2021-06-06,West Coast,1,713,
2021-06-06,West Coast,2,588,
2021-06-06,Whanganui,1,1765,
2021-06-06,Whanganui,2,719,
2021-06-13,Auckland,1,8438,
2021-06-13,Auckland,2,5203,
2021-06-13,Bay of Plenty,1,3029,
2021-06-13,Bay of Plenty,2,3186,
2021-06-13,Canterbury,1,3843,
2021-06-13,Canterbury,2,2978,
2021-06-13,Capital and Coast,1,1505,
2021-06-13,Capital and Coast,2,1533,
2021-06-13,Counties Manukau,1,8799,
2021-06-13,Counties Manukau,2,6386,
2021-06-13,Hawke's Bay,1,3375,
2021-06-13,Hawke's Bay,2,1370,
2021-06-13,Hutt Valley,1,1105,
2021-06-13,Hutt Valley,2,1020,
2021-06-13,Lakes,1,2660,
2021-06-13,Lakes,2,1123,
2021-06-13,MidCentral,1,2237,
2021-06-13,MidCentral,2,1685,
2021-06-13,Nelson Marlborough,1,2573,
2021-06-13,Nelson Marlborough,2,1837,
2021-06-13,Northland,1,4068,
2021-06-13,Northland,2,1798,
2021-06-13,Other Sites,1,1149,
2021-06-13,Other Sites,2,1086,
2021-06-13,South Canterbury,1,1731,
2021-06-13,South Canterbury,2,297,
2021-06-13,Southern,1,3757,
2021-06-13,Southern,2,2540,
2021-06-13,Tairawhiti,1,713,
2021-06-13,Tairawhiti,2,503,
2021-06-13,Taranaki,1,690,
2021-06-13,Taranaki,2,497,
2021-06-13,Waikato,1,3039,
2021-06-13,Waikato,2,2682,
2021-06-13,Wairarapa,1,375,
2021-06-13,Wairarapa,2,467,
2021-06-13,Waitemata,1,6860,
2021-06-13,Waitemata,2,3117,
2021-06-13,West Coast,1,406,
2021-06-13,West Coast,2,603,
2021-06-13,Whanganui,1,1504,
2021-06-13,Whanganui,2,922,
2021-06-20,Auckland,1,10162,
2021-06-20,Auckland,2,7823,
2021-06-20,Bay of Plenty,1,3996,
2021-06-20,Bay of Plenty,2,3518,
2021-06-20,Canterbury,1,4985,
2021-06-20,Canterbury,2,4440,
2021-06-20,Capital and Coast,1,1454,
2021-06-20,Capital and Coast,2,1433,
2021-06-20,Counties Manukau,1,10874,
